Nombre;Latitud;Longitud;Dependencia;Region;Comuna;Ruralidad;Matricula_Total
Escuela Esp. Rucamalen;-33,445263;-70,7138;Part. Subvencionado;RM;Lo Prado;Urbano;56
Colegio Particular Forjadores;-33,60894006;-70,90185207;Part. Subvencionado;RM;Peñaflor;Urbano;530
Colegio Part. Sochides Renca;-33,40074501;-70,72521632;Part. Subvencionado;RM;Renca;Urbano;991
Esc. Basica Y Esp.  El Nazareno;-33,52971296;-70,65325732;Part. Subvencionado;RM;La Cisterna;Urbano;62
Centro Educacional San Carlos De Aragon;-33,59795551;-70,57519054;Part. Subvencionado;RM;Puente Alto;Urbano;2676
Escuela Especial Adennun N_ 2;-33,534393;-70,691826;Part. Subvencionado;RM;Lo Espejo;Urbano;95
Colegio Talagante Garden School;-33,6395774172395;-70,912648260023;Part. Subvencionado;RM;Talagante;Urbano;621
Esc  Esp Part  Puerta Del Sol De La Reina;-33,462334;-70,55314;Part. Subvencionado;RM;La Reina;Urbano;52
Colegio Valle De Mallarauco;-33,5813;-71,0491;Part. Subvencionado;RM;Melipilla;Urbano;344
Centro Educ. Nino Dios De Malloco;-33,60338964;-70,85112528;Part. Subvencionado;RM;Peñaflor;Urbano;1829
Colegio Saltairam;-33,58873053;-70,57018566;Part. Subvencionado;RM;Puente Alto;Urbano;344
Esc. Esp. Ntra. Sra. Del Buen Consejo I;-33,442327;-70,693741;Part. Subvencionado;RM;Quinta Normal;Urbano;45
Colegio Part. Andino Antuquelen;-33,58557508;-70,39630092;Part. Subvencionado;RM;San José De Maipo;Urbano;306
Colegio Polivalente Falcon College;-33,4267667;-70,71392242;Part. Subvencionado;RM;Quinta Normal;Urbano;567
Esc. Esp. Part. Pablo Neruda;-33,58159;-70,60019;Part. Subvencionado;RM;Puente Alto;Urbano;107
Esc. Esp. Part. La Pampa;-33,42719;-70,71985;Part. Subvencionado;RM;Cerro Navia;Urbano;39
Escuela Especial Part. Ninos De La Reina;-33,45803;-70,56126;Part. Subvencionado;RM;La Reina;Urbano;76
Colegio Alto Gabriela;-33,58359326;-70,61635066;Part. Subvencionado;RM;La Pintana;Urbano;785
Colegio Ctro. Integ  Adultos Altazol;-33,451523;-70,65933;Part. Subvencionado;RM;Santiago;Urbano;301
Colegio Polivalente Agustiniano De El Bosque;-33,57040708;-70,68021875;Part. Subvencionado;RM;El Bosque;Urbano;1738
Esc. Bas. Part.  Jerusalen;-33,30479161;-70,85536319;Part. Subvencionado;RM;Lampa;Urbano;429
Escuela Básica N°1812 El Porvenir;-33,50347162;-70,75340809;Part. Subvencionado;RM;Maipú;Urbano;41
Esc. Bas. Part. San Juan Leonardi;-33,51154341;-70,79782816;Part. Subvencionado;RM;Maipú;Urbano;70
Escuela De Parv. Ichuac;-33,502647;-70,72668;Part. Subvencionado;RM;Cerrillos;Urbano;102
Colegio Part. King Edwards School I;-33,52480854;-70,78238719;Part. Subvencionado;RM;Maipú;Urbano;489
Escuela Especial Part. Guenipillan - Maipu;-33,510952;-70,75506;Part. Subvencionado;RM;Maipú;Urbano;34
Colegio Part. Padre Jose Kentenich;-33,60262966;-70,55950512;Part. Subvencionado;RM;Puente Alto;Urbano;887
Colegio Jose Luis Legrange De La Cisterna;-33,53113805;-70,66450788;Part. Subvencionado;RM;La Cisterna;Urbano;456
Colegio Instituto O¦Higgins De Maipu;-33,50596237;-70,75714454;Part. Subvencionado;RM;Maipú;Urbano;875
Esc. Part. Artistica El Trigal;-33,5001845;-70,75573673;Part. Subvencionado;RM;Maipú;Urbano;675
Esc Part. Siglo Xxi De Lampa;-33,28220087;-70,87251151;Part. Subvencionado;RM;Lampa;Urbano;422
Esc. Basica  `San Benigno`;-33,19562109;-70,67811684;Part. Subvencionado;RM;Colina;Urbano;312
Esc. Esp. Ntra. Sra. Del Buen Conse;-33,47497;-70,74281;Part. Subvencionado;RM;Maipú;Urbano;102
Instituto Tecnológico Bicentenario De Excelencia San Mateo;-33,46507533;-70,74134678;Part. Subvencionado;RM;Pudahuel;Urbano;1305
Esc. De Parv.Campanita De San Miguel;-33,506615;-70,66492;Part. Subvencionado;RM;San Miguel;Urbano;0
Escuela Espec.Sta. Teresa De Avila;-33,489876;-70,724884;Part. Subvencionado;RM;Cerrillos;Urbano;150
Colegio San Andres De Maipu;-33,48771497;-70,73790632;Part. Subvencionado;RM;Maipú;Urbano;1327
Colegio De Adultos Jose Abelardo Nunez;-33,374786;-70,64029;Part. Subvencionado;RM;Huechuraba;Urbano;227
Colegio De Adultos Jose Abelardo Nunez El Bos;-33,560898;-70,66451;Part. Subvencionado;RM;El Bosque;Urbano;309
Escuela Especial N°1832 Exploradores De Batuco;-33,232918;-70,80998;Part. Subvencionado;RM;Lampa;Urbano;91
Esc. Basica Particular San Pablo;-33,5703852;-70,57213581;Part. Subvencionado;RM;Puente Alto;Urbano;318
Colegio Part. Gabriela Mistral Sociedad Educa;-33,43864196;-70,68442128;Part. Subvencionado;RM;Quinta Normal;Urbano;759
Colegio Particular María Auxiliadora De Santiago;-33,45868711;-70,64385004;Part. Subvencionado;RM;Santiago;Urbano;903
